era,period,interval,style,harmony_preparation,harmony_resolution,harmony_consecutive_permissibility,harmony_consecutive_quantity_max,counterpoint_preparation,counterpoint_resolution,counterpoint_consecutive_permissibility,counterpoint_consecutive_quantity_max,evidence,source_keys,source_urls,decade_specific_evidence,original_csv
19th century,1800-1809,m2,19C common-practice pedagogy (not decade-specific in sources),Prepare only if suspension; otherwise approach as passing/appoggiatura/neighbor by step or as essential chromatic discord.,Resolve by step to consonance; 2-3 or 9-8 pattern according to bass/compound form.,No structural consecutive 2nds; passing-note exception.,0 structural; passing exception no source max,"Must be non-structural: preceded by consonance and approached by step, or tied as suspension.",Leave by step to consonance.,No structural consecutive 2nds.,0 structural; non-structural no source max,,,,,19c_interval_harmony_counterpoint_rules.csv
19th century,1810-1819,m2,19C common-practice pedagogy (not decade-specific in sources),Prepare only if suspension; otherwise approach as passing/appoggiatura/neighbor by step or as essential chromatic discord.,Resolve by step to consonance; 2-3 or 9-8 pattern according to bass/compound form.,No structural consecutive 2nds; passing-note exception.,0 structural; passing exception no source max,"Must be non-structural: preceded by consonance and approached by step, or tied as suspension.",Leave by step to consonance.,No structural consecutive 2nds.,0 structural; non-structural no source max,,,,,19c_interval_harmony_counterpoint_rules.csv
19th century,1820-1829,m2,19C common-practice pedagogy (not decade-specific in sources),Prepare only if suspension; otherwise approach as passing/appoggiatura/neighbor by step or as essential chromatic discord.,Resolve by step to consonance; 2-3 or 9-8 pattern according to bass/compound form.,No structural consecutive 2nds; passing-note exception.,0 structural; passing exception no source max,"Must be non-structural: preceded by consonance and approached by step, or tied as suspension.",Leave by step to consonance.,No structural consecutive 2nds.,0 structural; non-structural no source max,,,,,19c_interval_harmony_counterpoint_rules.csv
19th century,1830-1839,m2,19C common-practice pedagogy (not decade-specific in sources),Prepare only if suspension; otherwise approach as passing/appoggiatura/neighbor by step or as essential chromatic discord.,Resolve by step to consonance; 2-3 or 9-8 pattern according to bass/compound form.,No structural consecutive 2nds; passing-note exception.,0 structural; passing exception no source max,"Must be non-structural: preceded by consonance and approached by step, or tied as suspension.",Leave by step to consonance.,No structural consecutive 2nds.,0 structural; non-structural no source max,,,,,19c_interval_harmony_counterpoint_rules.csv
19th century,1840-1849,m2,19C common-practice pedagogy (not decade-specific in sources),Prepare only if suspension; otherwise approach as passing/appoggiatura/neighbor by step or as essential chromatic discord.,Resolve by step to consonance; 2-3 or 9-8 pattern according to bass/compound form.,No structural consecutive 2nds; passing-note exception.,0 structural; passing exception no source max,"Must be non-structural: preceded by consonance and approached by step, or tied as suspension.",Leave by step to consonance.,No structural consecutive 2nds.,0 structural; non-structural no source max,,,,,19c_interval_harmony_counterpoint_rules.csv
19th century,1850-1859,m2,19C common-practice pedagogy (not decade-specific in sources),Prepare only if suspension; otherwise approach as passing/appoggiatura/neighbor by step or as essential chromatic discord.,Resolve by step to consonance; 2-3 or 9-8 pattern according to bass/compound form.,No structural consecutive 2nds; passing-note exception.,0 structural; passing exception no source max,"Must be non-structural: preceded by consonance and approached by step, or tied as suspension.",Leave by step to consonance.,No structural consecutive 2nds.,0 structural; non-structural no source max,,,,,19c_interval_harmony_counterpoint_rules.csv
19th century,1860-1869,m2,19C common-practice pedagogy (not decade-specific in sources),Prepare only if suspension; otherwise approach as passing/appoggiatura/neighbor by step or as essential chromatic discord.,Resolve by step to consonance; 2-3 or 9-8 pattern according to bass/compound form.,No structural consecutive 2nds; passing-note exception.,0 structural; passing exception no source max,"Must be non-structural: preceded by consonance and approached by step, or tied as suspension.",Leave by step to consonance.,No structural consecutive 2nds.,0 structural; non-structural no source max,,,,,19c_interval_harmony_counterpoint_rules.csv
19th century,1870-1879,m2,19C common-practice pedagogy (not decade-specific in sources),Prepare only if suspension; otherwise approach as passing/appoggiatura/neighbor by step or as essential chromatic discord.,Resolve by step to consonance; 2-3 or 9-8 pattern according to bass/compound form.,No structural consecutive 2nds; passing-note exception.,0 structural; passing exception no source max,"Must be non-structural: preceded by consonance and approached by step, or tied as suspension.",Leave by step to consonance.,No structural consecutive 2nds.,0 structural; non-structural no source max,,,,,19c_interval_harmony_counterpoint_rules.csv
19th century,1880-1889,m2,19C common-practice pedagogy (not decade-specific in sources),Prepare only if suspension; otherwise approach as passing/appoggiatura/neighbor by step or as essential chromatic discord.,Resolve by step to consonance; 2-3 or 9-8 pattern according to bass/compound form.,No structural consecutive 2nds; passing-note exception.,0 structural; passing exception no source max,"Must be non-structural: preceded by consonance and approached by step, or tied as suspension.",Leave by step to consonance.,No structural consecutive 2nds.,0 structural; non-structural no source max,,,,,19c_interval_harmony_counterpoint_rules.csv
19th century,1890-1899,m2,19C common-practice pedagogy (not decade-specific in sources),Prepare only if suspension; otherwise approach as passing/appoggiatura/neighbor by step or as essential chromatic discord.,Resolve by step to consonance; 2-3 or 9-8 pattern according to bass/compound form.,No structural consecutive 2nds; passing-note exception.,0 structural; passing exception no source max,"Must be non-structural: preceded by consonance and approached by step, or tied as suspension.",Leave by step to consonance.,No structural consecutive 2nds.,0 structural; non-structural no source max,,,,,19c_interval_harmony_counterpoint_rules.csv
19th century,1800-1809,M2,19C common-practice pedagogy (not decade-specific in sources),Prepare only if suspension; otherwise approach as passing/appoggiatura/neighbor by step or as essential discord.,Resolve by step to consonance; 2-3 or 9-8 pattern according to bass/compound form.,No structural consecutive 2nds; passing-note exception.,0 structural; passing exception no source max,"Must be non-structural: preceded by consonance and approached by step, or tied as suspension.",Leave by step to consonance.,No structural consecutive 2nds.,0 structural; non-structural no source max,,,,,19c_interval_harmony_counterpoint_rules.csv
19th century,1810-1819,M2,19C common-practice pedagogy (not decade-specific in sources),Prepare only if suspension; otherwise approach as passing/appoggiatura/neighbor by step or as essential discord.,Resolve by step to consonance; 2-3 or 9-8 pattern according to bass/compound form.,No structural consecutive 2nds; passing-note exception.,0 structural; passing exception no source max,"Must be non-structural: preceded by consonance and approached by step, or tied as suspension.",Leave by step to consonance.,No structural consecutive 2nds.,0 structural; non-structural no source max,,,,,19c_interval_harmony_counterpoint_rules.csv
19th century,1820-1829,M2,19C common-practice pedagogy (not decade-specific in sources),Prepare only if suspension; otherwise approach as passing/appoggiatura/neighbor by step or as essential discord.,Resolve by step to consonance; 2-3 or 9-8 pattern according to bass/compound form.,No structural consecutive 2nds; passing-note exception.,0 structural; passing exception no source max,"Must be non-structural: preceded by consonance and approached by step, or tied as suspension.",Leave by step to consonance.,No structural consecutive 2nds.,0 structural; non-structural no source max,,,,,19c_interval_harmony_counterpoint_rules.csv
19th century,1830-1839,M2,19C common-practice pedagogy (not decade-specific in sources),Prepare only if suspension; otherwise approach as passing/appoggiatura/neighbor by step or as essential discord.,Resolve by step to consonance; 2-3 or 9-8 pattern according to bass/compound form.,No structural consecutive 2nds; passing-note exception.,0 structural; passing exception no source max,"Must be non-structural: preceded by consonance and approached by step, or tied as suspension.",Leave by step to consonance.,No structural consecutive 2nds.,0 structural; non-structural no source max,,,,,19c_interval_harmony_counterpoint_rules.csv
19th century,1840-1849,M2,19C common-practice pedagogy (not decade-specific in sources),Prepare only if suspension; otherwise approach as passing/appoggiatura/neighbor by step or as essential discord.,Resolve by step to consonance; 2-3 or 9-8 pattern according to bass/compound form.,No structural consecutive 2nds; passing-note exception.,0 structural; passing exception no source max,"Must be non-structural: preceded by consonance and approached by step, or tied as suspension.",Leave by step to consonance.,No structural consecutive 2nds.,0 structural; non-structural no source max,,,,,19c_interval_harmony_counterpoint_rules.csv
19th century,1850-1859,M2,19C common-practice pedagogy (not decade-specific in sources),Prepare only if suspension; otherwise approach as passing/appoggiatura/neighbor by step or as essential discord.,Resolve by step to consonance; 2-3 or 9-8 pattern according to bass/compound form.,No structural consecutive 2nds; passing-note exception.,0 structural; passing exception no source max,"Must be non-structural: preceded by consonance and approached by step, or tied as suspension.",Leave by step to consonance.,No structural consecutive 2nds.,0 structural; non-structural no source max,,,,,19c_interval_harmony_counterpoint_rules.csv
19th century,1860-1869,M2,19C common-practice pedagogy (not decade-specific in sources),Prepare only if suspension; otherwise approach as passing/appoggiatura/neighbor by step or as essential discord.,Resolve by step to consonance; 2-3 or 9-8 pattern according to bass/compound form.,No structural consecutive 2nds; passing-note exception.,0 structural; passing exception no source max,"Must be non-structural: preceded by consonance and approached by step, or tied as suspension.",Leave by step to consonance.,No structural consecutive 2nds.,0 structural; non-structural no source max,,,,,19c_interval_harmony_counterpoint_rules.csv
19th century,1870-1879,M2,19C common-practice pedagogy (not decade-specific in sources),Prepare only if suspension; otherwise approach as passing/appoggiatura/neighbor by step or as essential discord.,Resolve by step to consonance; 2-3 or 9-8 pattern according to bass/compound form.,No structural consecutive 2nds; passing-note exception.,0 structural; passing exception no source max,"Must be non-structural: preceded by consonance and approached by step, or tied as suspension.",Leave by step to consonance.,No structural consecutive 2nds.,0 structural; non-structural no source max,,,,,19c_interval_harmony_counterpoint_rules.csv
19th century,1880-1889,M2,19C common-practice pedagogy (not decade-specific in sources),Prepare only if suspension; otherwise approach as passing/appoggiatura/neighbor by step or as essential discord.,Resolve by step to consonance; 2-3 or 9-8 pattern according to bass/compound form.,No structural consecutive 2nds; passing-note exception.,0 structural; passing exception no source max,"Must be non-structural: preceded by consonance and approached by step, or tied as suspension.",Leave by step to consonance.,No structural consecutive 2nds.,0 structural; non-structural no source max,,,,,19c_interval_harmony_counterpoint_rules.csv
19th century,1890-1899,M2,19C common-practice pedagogy (not decade-specific in sources),Prepare only if suspension; otherwise approach as passing/appoggiatura/neighbor by step or as essential discord.,Resolve by step to consonance; 2-3 or 9-8 pattern according to bass/compound form.,No structural consecutive 2nds; passing-note exception.,0 structural; passing exception no source max,"Must be non-structural: preceded by consonance and approached by step, or tied as suspension.",Leave by step to consonance.,No structural consecutive 2nds.,0 structural; non-structural no source max,,,,,19c_interval_harmony_counterpoint_rules.csv
19th century,1800-1809,b3 / m3,19C common-practice pedagogy (not decade-specific in sources),None; imperfect consonance.,No required resolution; may move freely by good voice-leading.,Yes; several consecutive imperfect consonances allowed.,no source max,None; imperfect consonance.,No required resolution; prefer contrary/oblique with smooth melody.,Yes; several consecutive thirds allowed but avoid monotony.,no source max,,,,,19c_interval_harmony_counterpoint_rules.csv
19th century,1810-1819,b3 / m3,19C common-practice pedagogy (not decade-specific in sources),None; imperfect consonance.,No required resolution; may move freely by good voice-leading.,Yes; several consecutive imperfect consonances allowed.,no source max,None; imperfect consonance.,No required resolution; prefer contrary/oblique with smooth melody.,Yes; several consecutive thirds allowed but avoid monotony.,no source max,,,,,19c_interval_harmony_counterpoint_rules.csv
19th century,1820-1829,b3 / m3,19C common-practice pedagogy (not decade-specific in sources),None; imperfect consonance.,No required resolution; may move freely by good voice-leading.,Yes; several consecutive imperfect consonances allowed.,no source max,None; imperfect consonance.,No required resolution; prefer contrary/oblique with smooth melody.,Yes; several consecutive thirds allowed but avoid monotony.,no source max,,,,,19c_interval_harmony_counterpoint_rules.csv
19th century,1830-1839,b3 / m3,19C common-practice pedagogy (not decade-specific in sources),None; imperfect consonance.,No required resolution; may move freely by good voice-leading.,Yes; several consecutive imperfect consonances allowed.,no source max,None; imperfect consonance.,No required resolution; prefer contrary/oblique with smooth melody.,Yes; several consecutive thirds allowed but avoid monotony.,no source max,,,,,19c_interval_harmony_counterpoint_rules.csv
19th century,1840-1849,b3 / m3,19C common-practice pedagogy (not decade-specific in sources),None; imperfect consonance.,No required resolution; may move freely by good voice-leading.,Yes; several consecutive imperfect consonances allowed.,no source max,None; imperfect consonance.,No required resolution; prefer contrary/oblique with smooth melody.,Yes; several consecutive thirds allowed but avoid monotony.,no source max,,,,,19c_interval_harmony_counterpoint_rules.csv
19th century,1850-1859,b3 / m3,19C common-practice pedagogy (not decade-specific in sources),None; imperfect consonance.,No required resolution; may move freely by good voice-leading.,Yes; several consecutive imperfect consonances allowed.,no source max,None; imperfect consonance.,No required resolution; prefer contrary/oblique with smooth melody.,Yes; several consecutive thirds allowed but avoid monotony.,no source max,,,,,19c_interval_harmony_counterpoint_rules.csv
19th century,1860-1869,b3 / m3,19C common-practice pedagogy (not decade-specific in sources),None; imperfect consonance.,No required resolution; may move freely by good voice-leading.,Yes; several consecutive imperfect consonances allowed.,no source max,None; imperfect consonance.,No required resolution; prefer contrary/oblique with smooth melody.,Yes; several consecutive thirds allowed but avoid monotony.,no source max,,,,,19c_interval_harmony_counterpoint_rules.csv
19th century,1870-1879,b3 / m3,19C common-practice pedagogy (not decade-specific in sources),None; imperfect consonance.,No required resolution; may move freely by good voice-leading.,Yes; several consecutive imperfect consonances allowed.,no source max,None; imperfect consonance.,No required resolution; prefer contrary/oblique with smooth melody.,Yes; several consecutive thirds allowed but avoid monotony.,no source max,,,,,19c_interval_harmony_counterpoint_rules.csv
19th century,1880-1889,b3 / m3,19C common-practice pedagogy (not decade-specific in sources),None; imperfect consonance.,No required resolution; may move freely by good voice-leading.,Yes; several consecutive imperfect consonances allowed.,no source max,None; imperfect consonance.,No required resolution; prefer contrary/oblique with smooth melody.,Yes; several consecutive thirds allowed but avoid monotony.,no source max,,,,,19c_interval_harmony_counterpoint_rules.csv
19th century,1890-1899,b3 / m3,19C common-practice pedagogy (not decade-specific in sources),None; imperfect consonance.,No required resolution; may move freely by good voice-leading.,Yes; several consecutive imperfect consonances allowed.,no source max,None; imperfect consonance.,No required resolution; prefer contrary/oblique with smooth melody.,Yes; several consecutive thirds allowed but avoid monotony.,no source max,,,,,19c_interval_harmony_counterpoint_rules.csv
19th century,1800-1809,M3,19C common-practice pedagogy (not decade-specific in sources),None; imperfect consonance.,No required resolution; may move freely by good voice-leading.,Yes; several consecutive imperfect consonances allowed.,no source max,None; imperfect consonance.,No required resolution; prefer contrary/oblique with smooth melody.,Yes; several consecutive thirds allowed but avoid monotony.,no source max,,,,,19c_interval_harmony_counterpoint_rules.csv
19th century,1810-1819,M3,19C common-practice pedagogy (not decade-specific in sources),None; imperfect consonance.,No required resolution; may move freely by good voice-leading.,Yes; several consecutive imperfect consonances allowed.,no source max,None; imperfect consonance.,No required resolution; prefer contrary/oblique with smooth melody.,Yes; several consecutive thirds allowed but avoid monotony.,no source max,,,,,19c_interval_harmony_counterpoint_rules.csv
19th century,1820-1829,M3,19C common-practice pedagogy (not decade-specific in sources),None; imperfect consonance.,No required resolution; may move freely by good voice-leading.,Yes; several consecutive imperfect consonances allowed.,no source max,None; imperfect consonance.,No required resolution; prefer contrary/oblique with smooth melody.,Yes; several consecutive thirds allowed but avoid monotony.,no source max,,,,,19c_interval_harmony_counterpoint_rules.csv
19th century,1830-1839,M3,19C common-practice pedagogy (not decade-specific in sources),None; imperfect consonance.,No required resolution; may move freely by good voice-leading.,Yes; several consecutive imperfect consonances allowed.,no source max,None; imperfect consonance.,No required resolution; prefer contrary/oblique with smooth melody.,Yes; several consecutive thirds allowed but avoid monotony.,no source max,,,,,19c_interval_harmony_counterpoint_rules.csv
19th century,1840-1849,M3,19C common-practice pedagogy (not decade-specific in sources),None; imperfect consonance.,No required resolution; may move freely by good voice-leading.,Yes; several consecutive imperfect consonances allowed.,no source max,None; imperfect consonance.,No required resolution; prefer contrary/oblique with smooth melody.,Yes; several consecutive thirds allowed but avoid monotony.,no source max,,,,,19c_interval_harmony_counterpoint_rules.csv
19th century,1850-1859,M3,19C common-practice pedagogy (not decade-specific in sources),None; imperfect consonance.,No required resolution; may move freely by good voice-leading.,Yes; several consecutive imperfect consonances allowed.,no source max,None; imperfect consonance.,No required resolution; prefer contrary/oblique with smooth melody.,Yes; several consecutive thirds allowed but avoid monotony.,no source max,,,,,19c_interval_harmony_counterpoint_rules.csv
19th century,1860-1869,M3,19C common-practice pedagogy (not decade-specific in sources),None; imperfect consonance.,No required resolution; may move freely by good voice-leading.,Yes; several consecutive imperfect consonances allowed.,no source max,None; imperfect consonance.,No required resolution; prefer contrary/oblique with smooth melody.,Yes; several consecutive thirds allowed but avoid monotony.,no source max,,,,,19c_interval_harmony_counterpoint_rules.csv
19th century,1870-1879,M3,19C common-practice pedagogy (not decade-specific in sources),None; imperfect consonance.,No required resolution; may move freely by good voice-leading.,Yes; several consecutive imperfect consonances allowed.,no source max,None; imperfect consonance.,No required resolution; prefer contrary/oblique with smooth melody.,Yes; several consecutive thirds allowed but avoid monotony.,no source max,,,,,19c_interval_harmony_counterpoint_rules.csv
19th century,1880-1889,M3,19C common-practice pedagogy (not decade-specific in sources),None; imperfect consonance.,No required resolution; may move freely by good voice-leading.,Yes; several consecutive imperfect consonances allowed.,no source max,None; imperfect consonance.,No required resolution; prefer contrary/oblique with smooth melody.,Yes; several consecutive thirds allowed but avoid monotony.,no source max,,,,,19c_interval_harmony_counterpoint_rules.csv
19th century,1890-1899,M3,19C common-practice pedagogy (not decade-specific in sources),None; imperfect consonance.,No required resolution; may move freely by good voice-leading.,Yes; several consecutive imperfect consonances allowed.,no source max,None; imperfect consonance.,No required resolution; prefer contrary/oblique with smooth melody.,Yes; several consecutive thirds allowed but avoid monotony.,no source max,,,,,19c_interval_harmony_counterpoint_rules.csv
19th century,1800-1809,P4,19C common-practice pedagogy (not decade-specific in sources),"Context-dependent: consonant inside upper harmony, but 4th above bass is treated like a 4-3 suspension or 6-4 sonority and normally prepared.","If dissonant above bass, resolve 4-3 down by step or 6-4 to 5-3/cadential resolution.",Bass-upper consecutive 4ths forbidden except noted exception; upper-voice 4ths not prohibited.,bass-upper 1; upper voices no source max,In strict 2-part counterpoint treat as dissonance: prepare by tie for 4-3 suspension or use as passing by step.,Resolve down by step to 3rd if suspension; passing form continues by step to consonance.,No structural consecutive 4ths in strict 2-part work.,0 structural; suspension/passing no source max,,,,,19c_interval_harmony_counterpoint_rules.csv
19th century,1810-1819,P4,19C common-practice pedagogy (not decade-specific in sources),"Context-dependent: consonant inside upper harmony, but 4th above bass is treated like a 4-3 suspension or 6-4 sonority and normally prepared.","If dissonant above bass, resolve 4-3 down by step or 6-4 to 5-3/cadential resolution.",Bass-upper consecutive 4ths forbidden except noted exception; upper-voice 4ths not prohibited.,bass-upper 1; upper voices no source max,In strict 2-part counterpoint treat as dissonance: prepare by tie for 4-3 suspension or use as passing by step.,Resolve down by step to 3rd if suspension; passing form continues by step to consonance.,No structural consecutive 4ths in strict 2-part work.,0 structural; suspension/passing no source max,,,,,19c_interval_harmony_counterpoint_rules.csv
19th century,1820-1829,P4,19C common-practice pedagogy (not decade-specific in sources),"Context-dependent: consonant inside upper harmony, but 4th above bass is treated like a 4-3 suspension or 6-4 sonority and normally prepared.","If dissonant above bass, resolve 4-3 down by step or 6-4 to 5-3/cadential resolution.",Bass-upper consecutive 4ths forbidden except noted exception; upper-voice 4ths not prohibited.,bass-upper 1; upper voices no source max,In strict 2-part counterpoint treat as dissonance: prepare by tie for 4-3 suspension or use as passing by step.,Resolve down by step to 3rd if suspension; passing form continues by step to consonance.,No structural consecutive 4ths in strict 2-part work.,0 structural; suspension/passing no source max,,,,,19c_interval_harmony_counterpoint_rules.csv
19th century,1830-1839,P4,19C common-practice pedagogy (not decade-specific in sources),"Context-dependent: consonant inside upper harmony, but 4th above bass is treated like a 4-3 suspension or 6-4 sonority and normally prepared.","If dissonant above bass, resolve 4-3 down by step or 6-4 to 5-3/cadential resolution.",Bass-upper consecutive 4ths forbidden except noted exception; upper-voice 4ths not prohibited.,bass-upper 1; upper voices no source max,In strict 2-part counterpoint treat as dissonance: prepare by tie for 4-3 suspension or use as passing by step.,Resolve down by step to 3rd if suspension; passing form continues by step to consonance.,No structural consecutive 4ths in strict 2-part work.,0 structural; suspension/passing no source max,,,,,19c_interval_harmony_counterpoint_rules.csv
19th century,1840-1849,P4,19C common-practice pedagogy (not decade-specific in sources),"Context-dependent: consonant inside upper harmony, but 4th above bass is treated like a 4-3 suspension or 6-4 sonority and normally prepared.","If dissonant above bass, resolve 4-3 down by step or 6-4 to 5-3/cadential resolution.",Bass-upper consecutive 4ths forbidden except noted exception; upper-voice 4ths not prohibited.,bass-upper 1; upper voices no source max,In strict 2-part counterpoint treat as dissonance: prepare by tie for 4-3 suspension or use as passing by step.,Resolve down by step to 3rd if suspension; passing form continues by step to consonance.,No structural consecutive 4ths in strict 2-part work.,0 structural; suspension/passing no source max,,,,,19c_interval_harmony_counterpoint_rules.csv
19th century,1850-1859,P4,19C common-practice pedagogy (not decade-specific in sources),"Context-dependent: consonant inside upper harmony, but 4th above bass is treated like a 4-3 suspension or 6-4 sonority and normally prepared.","If dissonant above bass, resolve 4-3 down by step or 6-4 to 5-3/cadential resolution.",Bass-upper consecutive 4ths forbidden except noted exception; upper-voice 4ths not prohibited.,bass-upper 1; upper voices no source max,In strict 2-part counterpoint treat as dissonance: prepare by tie for 4-3 suspension or use as passing by step.,Resolve down by step to 3rd if suspension; passing form continues by step to consonance.,No structural consecutive 4ths in strict 2-part work.,0 structural; suspension/passing no source max,,,,,19c_interval_harmony_counterpoint_rules.csv
19th century,1860-1869,P4,19C common-practice pedagogy (not decade-specific in sources),"Context-dependent: consonant inside upper harmony, but 4th above bass is treated like a 4-3 suspension or 6-4 sonority and normally prepared.","If dissonant above bass, resolve 4-3 down by step or 6-4 to 5-3/cadential resolution.",Bass-upper consecutive 4ths forbidden except noted exception; upper-voice 4ths not prohibited.,bass-upper 1; upper voices no source max,In strict 2-part counterpoint treat as dissonance: prepare by tie for 4-3 suspension or use as passing by step.,Resolve down by step to 3rd if suspension; passing form continues by step to consonance.,No structural consecutive 4ths in strict 2-part work.,0 structural; suspension/passing no source max,,,,,19c_interval_harmony_counterpoint_rules.csv
19th century,1870-1879,P4,19C common-practice pedagogy (not decade-specific in sources),"Context-dependent: consonant inside upper harmony, but 4th above bass is treated like a 4-3 suspension or 6-4 sonority and normally prepared.","If dissonant above bass, resolve 4-3 down by step or 6-4 to 5-3/cadential resolution.",Bass-upper consecutive 4ths forbidden except noted exception; upper-voice 4ths not prohibited.,bass-upper 1; upper voices no source max,In strict 2-part counterpoint treat as dissonance: prepare by tie for 4-3 suspension or use as passing by step.,Resolve down by step to 3rd if suspension; passing form continues by step to consonance.,No structural consecutive 4ths in strict 2-part work.,0 structural; suspension/passing no source max,,,,,19c_interval_harmony_counterpoint_rules.csv
19th century,1880-1889,P4,19C common-practice pedagogy (not decade-specific in sources),"Context-dependent: consonant inside upper harmony, but 4th above bass is treated like a 4-3 suspension or 6-4 sonority and normally prepared.","If dissonant above bass, resolve 4-3 down by step or 6-4 to 5-3/cadential resolution.",Bass-upper consecutive 4ths forbidden except noted exception; upper-voice 4ths not prohibited.,bass-upper 1; upper voices no source max,In strict 2-part counterpoint treat as dissonance: prepare by tie for 4-3 suspension or use as passing by step.,Resolve down by step to 3rd if suspension; passing form continues by step to consonance.,No structural consecutive 4ths in strict 2-part work.,0 structural; suspension/passing no source max,,,,,19c_interval_harmony_counterpoint_rules.csv
